command,syntax,formats,implementation,test_count,source_sha256,upstream_source,input,exit_status,go_test,difference
originToDirectedEdges,-c|--cell! -f|--format?,json|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(originToDirectedEdges),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
directedEdgeToBoundary,-c|--cell! -f|--format?,json|wkt|newline,internal/cli/commands_region_edge.go::edgeCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(directedEdgeToBoundary),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToVertex,-c|--cell! -v|--vertex! -f|--format?,json|newline,internal/cli/commands_region_edge.go::vertexCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToVertex),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellToVertexes,-c|--cell! -f|--format?,json|newline,internal/cli/commands_region_edge.go::vertexCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellToVertexes),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
vertexToLatLng,-c|--cell! -f|--format?,json|wkt|newline,internal/cli/commands_region_edge.go::vertexCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(vertexToLatLng),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
isValidVertex,-c|--cell! -f|--format?,json|numeric,internal/cli/commands_region_edge.go::vertexCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(isValidVertex),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
degsToRads,-d|--degree!,,internal/cli/commands_misc.go::miscCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(degsToRads),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
radsToDegs,-r|--radian!,,internal/cli/commands_misc.go::miscCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(radsToDegs),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getHexagonAreaAvgKm2,-r|--resolution!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getHexagonAreaAvgKm2),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getHexagonAreaAvgM2,-r|--resolution!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getHexagonAreaAvgM2),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellAreaRads2,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellAreaRads2),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellAreaKm2,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellAreaKm2),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
cellAreaM2,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(cellAreaM2),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getHexagonEdgeLengthAvgKm,-r|--resolution!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getHexagonEdgeLengthAvgKm),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getHexagonEdgeLengthAvgM,-r|--resolution!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getHexagonEdgeLengthAvgM),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
edgeLengthRads,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(edgeLengthRads),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
edgeLengthKm,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(edgeLengthKm),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
edgeLengthM,-c|--cell!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(edgeLengthM),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getNumCells,-r|--resolution!,,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getNumCells),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getRes0Cells,-f|--format?,json|newline,internal/cli/commands_misc.go::miscCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getRes0Cells),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
getPentagons,-r|--resolution! -f|--format?,json|newline,internal/cli/commands_misc.go::miscCommands,2,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(getPentagons),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
pentagonCount,,,internal/cli/commands_misc.go::miscCommands,1,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(pentagonCount),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
greatCircleDistanceRads,-i|--file? -c|--coordinates?,,internal/cli/commands_misc.go::miscCommands,4,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(greatCircleDistanceRads),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
greatCircleDistanceKm,-i|--file? -c|--coordinates?,,internal/cli/commands_misc.go::miscCommands,4,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(greatCircleDistanceKm),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
greatCircleDistanceM,-i|--file? -c|--coordinates?,,internal/cli/commands_misc.go::miscCommands,4,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(greatCircleDistanceM),"inline, file, or stdin (-i --)",0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
describeH3Error,-e|--error!,,internal/cli/commands_misc.go::miscCommands,4,3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4,src/apps/filters/h3.c::SUBCOMMAND(describeH3Error),flags,0 success; H3 error code 1-19; recognized parser error 0,TestUpstreamCLICompatibility,none
